country,averageLifeExp,sdLifeExp
Afghanistan,37.478833333333334,5.098646127486525
Albania,68.43291666666667,6.322911361337698
Algeria,59.030166666666666,10.340069076904252
Angola,37.8835,4.005276122589031
Argentina,69.06041666666667,4.186469752957048
Austria,73.10325,4.379838251994743
Bahrain,65.60566666666666,8.571871264181292
Bangladesh,49.83408333333333,9.028335399359802
Belgium,73.64175,3.7796580442968883
Benin,48.779916666666665,6.128680659716893
Bolivia,52.504583333333336,9.083134285419858
Bosnia and Herzegovina,67.70783333333334,6.662313191422784
Botswana,54.597500000000004,5.929475793172461
Brazil,62.2395,7.03931444880046
Bulgaria,69.74375,3.552679606489112
Burkina Faso,44.694,6.845791792972327
Burundi,44.81733333333333,3.1748823409360973
Cambodia,47.90275,8.930678159376455
Cameroon,48.1285,5.4679597408240594
Canada,74.90275,3.9528714332978034
Central African Republic,43.86691666666667,4.720690251114735
Chad,46.773583333333335,4.887977634570417
Chile,67.43091666666666,8.671338110625598
China,61.78514,10.25002001494454
Colombia,63.89775,6.977063958232914
Comoros,52.38175,8.132353032235448
"Congo, Dem. Rep.",44.54375,2.8692098096545995
"Congo, Rep.",52.501916666666666,4.878986732701658
Costa Rica,70.18141666666666,7.404389575949136
Cote d'Ivoire,48.436166666666665,4.421421096791337
Croatia,70.05591666666666,4.209222438631487
Cuba,71.04508333333334,6.022798178713541
Czech Republic,71.51050000000001,2.726760865602597
Denmark,74.37016666666666,2.220111456388593
Djibouti,46.38075,6.7100029958671
Dominican Republic,61.5545,8.621468388958935
Ecuador,62.816833333333335,9.039428721222409
Egypt,56.243,10.062499824957648
El Salvador,59.63333333333333,8.799018285461099
Equatorial Guinea,42.96,5.600455939231442
Eritrea,45.99925,6.90392466941153
Ethiopia,44.47575,5.627191922426156
Finland,72.99191666666667,4.302532921184776
France,74.34891666666667,4.304760946975576
Gabon,51.2205,8.933194028199239
Gambia,44.40058333333333,10.545928903940595
Germany,73.44441666666667,3.872602729627087
Ghana,52.340666666666664,5.846971653356249
Greece,73.73316666666666,4.432486329432508
Guatemala,56.729416666666665,9.593684650552278
Guinea,43.23983333333334,7.743160276050474
Guinea-Bissau,39.21025,4.937368532196808
Haiti,50.16525,7.202813921403469
Honduras,57.920833333333334,9.899400962898838
"Hong Kong, China",73.49283333333334,6.690943496905939
Hungary,69.39316666666667,2.5000197029526623
Iceland,76.51141666666666,3.0265925171967765
India,53.16608333333333,9.257067515818616
Indonesia,54.33575,11.457702372600314
Iran,58.636583333333334,8.975700696459539
Iraq,56.58175,5.739682714148135
Ireland,73.01725,3.6184780357844573
Israel,73.64583333333333,4.827937576483798
Italy,74.01383333333334,4.878483554126096
Jamaica,68.74933333333334,4.446647283134345
Japan,74.82691666666666,6.494629354087088
Jordan,59.78641666666667,10.466519144033715
Kenya,52.681,5.596199213427237
"Korea, Dem. Rep.",63.60733333333334,6.803266572802073
"Korea, Rep.",65.001,10.07501728399149
Kuwait,68.92233333333333,7.700306668430731
Lebanon,65.86566666666667,4.8491857298338505
Lesotho,50.007083333333334,5.914277508451028
Liberia,42.47625,2.4190943130548974
Libya,59.30416666666667,11.372181495636488
Madagascar,47.770583333333335,7.297844108282108
Malawi,43.35158333333333,4.607323191661753
Malaysia,64.27958333333333,8.607688565867708
Mali,43.4135,6.808537387988433
Mauritania,52.302083333333336,8.057280496074606
Mauritius,64.95325,6.497273905611911
Mexico,65.40883333333333,8.191976749271573
Mongolia,55.89033333333333,7.959212470559833
Montenegro,70.29916666666666,5.898759481809918
Morocco,57.60883333333333,9.806161632855995
Mozambique,40.3795,4.599184028419903
Myanmar,53.321666666666665,8.326016752907536
Namibia,53.49133333333333,6.303906023372743
Nepal,48.986333333333334,9.58200783982273
Netherlands,75.6485,2.4863631161707964
Nicaragua,58.34941666666667,10.049010746955357
Niger,44.55866666666667,6.509444276424738
Nigeria,43.58133333333333,4.021206655930155
Norway,75.843,2.42399422441556
Oman,58.44266666666667,14.09948079207389
Pakistan,54.88225,7.325605778550145
Panama,67.80175,6.547365231699904
Paraguay,66.80908333333333,2.861193281207028
Peru,58.85933333333333,9.568512331727657
Philippines,60.96725,7.612836350234683
Poland,70.17691666666667,3.860378866435812
Portugal,70.41983333333333,6.1753460239205635
Puerto Rico,72.73933333333333,3.984267295098042
Reunion,66.64425,8.434938024506922
Romania,68.29066666666667,3.1615461503204516
Rwanda,41.48158333333333,6.307415238623841
Sao Tome and Principe,57.89633333333333,6.283923330550941
Saudi Arabia,58.67875,11.878213862706033
Senegal,50.62591666666667,9.141933587578558
Serbia,68.551,4.90673592671803
Sierra Leone,36.76916666666666,3.9378279853777562
Singapore,71.22025,6.182781914684153
Slovak Republic,70.69608333333333,2.71578692624953
Slovenia,71.60075,3.6779791666076638
Somalia,40.98866666666667,4.503828257127148
South Africa,53.99316666666667,5.455501674012346
Spain,74.20341666666667,5.155859340389223
Sri Lanka,66.52608333333333,4.535046425708707
Sudan,48.4005,6.927842987145816
Swaziland,49.00241666666667,6.5626679228155
Sweden,76.17699999999999,3.003989892247855
Switzerland,75.56508333333333,4.011571568222322
Syria,61.34616666666667,10.073934970401526
Taiwan,70.33666666666667,6.030346489869284
Tanzania,47.912333333333336,3.602435245354133
Thailand,62.20025,6.36109676256597
Togo,51.49875,7.247043411250238
Trinidad and Tobago,66.828,3.5046274085453453
Tunisia,60.721000000000004,10.701244167257972
Turkey,59.696416666666664,9.030591146041862
Uganda,47.618833333333335,3.747266708933164
United Kingdom,73.92258333333334,3.3789430692379985
United States,73.4785,3.34378143315727
Uruguay,70.78158333333333,3.342937153254016
Venezuela,66.58066666666667,6.109742284898668
Vietnam,57.4795,12.17233102722579
West Bank and Gaza,60.32866666666667,11.000069399230117
"Yemen, Rep.",46.78041666666667,11.019301697544865
Zambia,45.99633333333333,4.453246422214888
Zimbabwe,52.66316666666667,7.071816287635066
